Game no.,Winner,Score,mcbadboy,mcboy
1000,mcboy,3,0,1106
1000,mcboy,2,0,1108
1000,mcboy,2,0,1110
1000,mcboy,3,0,1113
1000,mcboy,3,0,1116
1000,mcboy,3,0,1119
1000,mcboy,3,0,1122
1000,mcboy,2,0,1124
1000,mcboy,3,0,1127
1000,mcboy,2,0,1129
1000,mcboy,3,0,1132
1000,mcboy,3,0,1135
1000,mcboy,2,0,1137
1000,mcboy,3,0,1140
1000,mcboy,3,0,1143
1000,mcboy,2,0,1145
1000,mcboy,3,0,1148
1000,mcboy,3,0,1151
1000,mcboy,3,0,1154
1000,mcboy,3,0,1157
1000,mcboy,3,0,1160
1000,mcboy,3,0,1163
1000,mcboy,3,0,1166
1000,mcboy,3,0,1169
1000,mcboy,3,0,1172
1000,mcboy,3,0,1175
1000,mcboy,3,0,1178
1000,mcboy,3,0,1181
1000,mcboy,3,0,1184
1000,mcboy,3,0,1187
1000,mcboy,2,0,1189
1000,mcboy,2,0,1191
1000,mcboy,3,0,1194
1000,mcboy,3,0,1197
1000,mcboy,2,0,1199
1000,mcboy,3,0,1202
1000,mcboy,3,0,1205
1000,mcboy,2,0,1207
1000,mcboy,3,0,1210
1000,mcboy,3,0,1213
1000,mcboy,3,0,1216
1000,mcboy,3,0,1219
1000,mcboy,3,0,1222
1000,mcboy,3,0,1225
1000,mcboy,3,0,1228
1000,mcboy,3,0,1231
1000,mcboy,3,0,1234
1000,mcboy,2,0,1236
1000,mcboy,3,0,1239
1000,mcboy,3,0,1242
1000,mcboy,3,0,1245
1000,mcboy,3,0,1248
1000,mcboy,3,0,1251
1000,mcboy,3,0,1254
1000,mcboy,3,0,1257
1000,mcboy,3,0,1260
1000,mcboy,3,0,1263
1000,mcboy,3,0,1266
1000,mcboy,3,0,1269
1000,mcboy,2,0,1271
1000,mcboy,3,0,1274
1000,mcboy,3,0,1277
1000,mcboy,3,0,1280
1000,mcboy,3,0,1283
1000,mcboy,3,0,1286
1000,mcboy,3,0,1289
1000,mcboy,3,0,1292
1000,mcboy,3,0,1295
1000,mcboy,3,0,1298
1000,mcboy,2,0,1300
1000,mcboy,3,0,1303
1000,mcboy,3,0,1306
1000,mcboy,3,0,1309
1000,mcboy,3,0,1312
1000,mcboy,3,0,1315
1000,mcboy,3,0,1318
1000,mcboy,3,0,1321
1000,mcboy,2,0,1323
1000,mcboy,3,0,1326
1000,mcboy,3,0,1329
1000,mcboy,3,0,1332
1000,mcboy,3,0,1335
1000,mcboy,2,0,1337
1000,mcboy,3,0,1340
1000,mcboy,3,0,1343
1000,mcboy,3,0,1346
1000,mcboy,3,0,1349
1000,mcboy,3,0,1352
1000,mcboy,3,0,1355
1000,mcboy,2,0,1357
1000,mcboy,3,0,1360
1000,mcboy,3,0,1363
1000,mcboy,3,0,1366
1000,mcboy,3,0,1369
1000,mcboy,3,0,1372
1000,mcboy,3,0,1375
1000,mcboy,3,0,1378
1000,mcboy,3,0,1381
1000,mcboy,3,0,1384
1000,mcboy,3,0,1387
1000,mcboy,2,0,1389
1000,mcboy,3,0,1392
1000,mcboy,3,0,1395
1000,mcboy,3,0,1398
1000,mcboy,3,0,1401
1000,mcboy,3,0,1404
1000,mcboy,3,0,1407
1000,mcboy,2,0,1409
1000,mcboy,2,0,1411
1000,mcboy,2,0,1413
1000,mcboy,3,0,1416
1000,mcboy,3,0,1419
1000,mcboy,3,0,1422
1000,mcboy,3,0,1425
1000,mcboy,3,0,1428
1000,mcboy,1,0,1429
1000,mcboy,3,0,1432
1000,mcboy,3,0,1435
1000,mcboy,3,0,1438
1000,mcboy,3,0,1441
1000,mcboy,3,0,1444
1000,mcboy,3,0,1447
1000,mcboy,2,0,1449
1000,mcboy,3,0,1452
1000,mcboy,2,0,1454
1000,mcboy,3,0,1457
1000,mcboy,3,0,1460
1000,mcboy,3,0,1463
1000,mcboy,3,0,1466
1000,mcboy,1,0,1467
1000,mcboy,3,0,1470
1000,mcboy,3,0,1473
1000,mcboy,2,0,1475
1000,mcboy,3,0,1478
1000,mcboy,2,0,1480
1000,mcboy,3,0,1483
1000,mcboy,2,0,1485
1000,mcboy,3,0,1488
1000,mcboy,3,0,1491
1000,mcboy,3,0,1494
1000,mcboy,3,0,1497
1000,mcboy,2,0,1499
1000,mcboy,3,0,1502
1000,mcboy,3,0,1505
1000,mcboy,2,0,1507
1000,mcboy,3,0,1510
1000,mcboy,3,0,1513
1000,mcboy,3,0,1516
1000,mcboy,3,0,1519
1000,mcboy,3,0,1522
1000,mcboy,2,0,1524
1000,mcboy,2,0,1526
1000,mcboy,3,0,1529
1000,mcboy,3,0,1532
1000,mcboy,3,0,1535
1000,mcboy,3,0,1538
1000,mcboy,3,0,1541
1000,mcboy,2,0,1543
1000,mcboy,2,0,1545
1000,mcboy,3,0,1548
1000,mcboy,2,0,1550
1000,mcboy,3,0,1553
1000,mcboy,3,0,1556
1000,mcboy,3,0,1559
1000,mcboy,2,0,1561
1000,mcboy,3,0,1564
1000,mcboy,3,0,1567
1000,mcboy,3,0,1570
1000,mcboy,3,0,1573
1000,mcboy,3,0,1576
1000,mcboy,3,0,1579
1000,mcboy,3,0,1582
1000,mcboy,3,0,1585
1000,mcboy,3,0,1588
1000,mcboy,2,0,1590
1000,mcboy,2,0,1592
1000,mcboy,1,0,1593
1000,mcboy,3,0,1596
1000,mcboy,2,0,1598
1000,mcboy,2,0,1600
1000,mcboy,3,0,1603
1000,mcboy,2,0,1605
1000,mcboy,3,0,1608
1000,mcboy,2,0,1610
1000,mcboy,3,0,1613
1000,mcboy,3,0,1616
1000,mcboy,2,0,1618
1000,mcboy,2,0,1620
1000,mcboy,3,0,1623
1000,mcboy,3,0,1626
1000,mcboy,3,0,1629
1000,mcboy,3,0,1632
1000,mcboy,3,0,1635
1000,mcboy,3,0,1638
1000,mcboy,3,0,1641
1000,mcboy,3,0,1644
1000,mcboy,3,0,1647
1000,mcboy,3,0,1650
1000,mcboy,3,0,1653
1000,mcboy,3,0,1656
1000,mcboy,3,0,1659
1000,mcboy,3,0,1662
1000,mcboy,3,0,1665
1000,mcboy,3,0,1668
1000,mcboy,3,0,1671
1000,mcboy,3,0,1674
1000,mcboy,3,0,1677
1000,mcboy,3,0,1680
1000,mcboy,3,0,1683
1000,mcboy,3,0,1686
1000,mcboy,3,0,1689
1000,mcboy,3,0,1692
1000,mcboy,3,0,1695
1000,mcboy,3,0,1698
1000,mcboy,3,0,1701
1000,mcboy,3,0,1704
1000,mcboy,3,0,1707
1000,mcboy,2,0,1709
1000,mcboy,3,0,1712
1000,mcboy,3,0,1715
1000,mcboy,3,0,1718
1000,mcboy,3,0,1721
1000,mcboy,3,0,1724
1000,mcboy,3,0,1727
1000,mcboy,3,0,1730
1000,mcboy,3,0,1733
1000,mcboy,3,0,1736
1000,mcboy,3,0,1739
1000,mcboy,3,0,1742
1000,mcboy,3,0,1745
1000,mcboy,3,0,1748
1000,mcboy,3,0,1751
1000,mcboy,3,0,1754
1000,mcboy,3,0,1757
1000,mcboy,3,0,1760
1000,mcboy,3,0,1763
1000,mcboy,3,0,1766
1000,mcboy,3,0,1769
1000,mcboy,2,0,1771
1000,mcboy,2,0,1773
1000,mcboy,3,0,1776
1000,mcboy,3,0,1779
1000,mcboy,2,0,1781
1000,mcboy,3,0,1784
1000,mcboy,2,0,1786
1000,mcboy,2,0,1788
1000,mcboy,3,0,1791
1000,mcboy,3,0,1794
1000,mcboy,2,0,1796
1000,mcboy,3,0,1799
1000,mcboy,2,0,1801
1000,mcboy,3,0,1804
1000,mcboy,2,0,1806
1000,mcboy,2,0,1808
1000,mcboy,2,0,1810
1000,mcboy,3,0,1813
1000,mcboy,3,0,1816
1000,mcboy,2,0,1818
1000,mcboy,3,0,1821
1000,mcboy,3,0,1824
1000,mcboy,3,0,1827
1000,mcboy,3,0,1830
1000,mcboy,2,0,1832
1000,mcboy,3,0,1835
1000,mcboy,2,0,1837
1000,mcboy,3,0,1840
1000,mcboy,3,0,1843
1000,mcboy,3,0,1846
1000,mcboy,3,0,1849
1000,mcboy,3,0,1852
1000,mcboy,3,0,1855
1000,mcboy,3,0,1858
1000,mcboy,3,0,1861
1000,mcboy,3,0,1864
1000,mcboy,3,0,1867
1000,mcboy,3,0,1870
1000,mcboy,3,0,1873
1000,mcboy,2,0,1875
1000,mcboy,3,0,1878
1000,mcboy,3,0,1881
1000,mcboy,3,0,1884
1000,mcboy,3,0,1887
1000,mcboy,3,0,1890
1000,mcboy,2,0,1892
1000,mcboy,3,0,1895
1000,mcboy,3,0,1898
1000,mcboy,3,0,1901
1000,mcboy,3,0,1904
1000,mcboy,3,0,1907
1000,mcboy,3,0,1910
1000,mcboy,2,0,1912
1000,mcboy,3,0,1915
1000,mcboy,2,0,1917
1000,mcboy,3,0,1920
1000,mcboy,3,0,1923
1000,mcboy,3,0,1926
1000,mcboy,3,0,1929
1000,mcboy,3,0,1932
1000,mcboy,2,0,1934
1000,mcboy,3,0,1937
1000,mcboy,3,0,1940
1000,mcboy,3,0,1943
1000,mcboy,2,0,1945
1000,mcboy,3,0,1948
1000,mcboy,2,0,1950
1000,mcboy,2,0,1952
1000,mcboy,3,0,1955
1000,mcboy,3,0,1958
1000,mcboy,3,0,1961
1000,mcboy,3,0,1964
1000,mcboy,3,0,1967
1000,mcboy,3,0,1970
1000,mcboy,3,0,1973
1000,mcboy,3,0,1976
1000,mcboy,3,0,1979
1000,mcboy,3,0,1982
1000,mcboy,2,0,1984
1000,mcboy,3,0,1987
1000,mcboy,3,0,1990
1000,mcboy,3,0,1993
1000,mcboy,3,0,1996
1000,mcboy,3,0,1999
1000,mcboy,3,0,2002
1000,mcboy,2,0,2004
1000,mcboy,3,0,2007
1000,mcboy,3,0,2010
1000,mcboy,2,0,2012
1000,mcboy,3,0,2015
1000,mcboy,3,0,2018
1000,mcboy,3,0,2021
1000,mcboy,3,0,2024
1000,mcboy,2,0,2026
1000,mcboy,3,0,2029
1000,mcboy,3,0,2032
1000,mcboy,3,0,2035
1000,mcboy,3,0,2038
1000,mcboy,3,0,2041
1000,mcboy,2,0,2043
1000,mcboy,3,0,2046
1000,mcboy,3,0,2049
1000,mcboy,3,0,2052
1000,mcboy,2,0,2054
1000,mcboy,3,0,2057
1000,mcboy,3,0,2060
1000,mcboy,2,0,2062
1000,mcboy,3,0,2065
1000,mcboy,3,0,2068
1000,mcboy,3,0,2071
1000,mcboy,3,0,2074
1000,mcboy,3,0,2077
1000,mcboy,3,0,2080
1000,mcboy,3,0,2083
1000,mcboy,2,0,2085
1000,mcboy,3,0,2088
1000,mcboy,3,0,2091
1000,mcboy,3,0,2094
1000,mcboy,3,0,2097
1000,mcboy,3,0,2100
1000,mcboy,2,0,2102
1000,mcboy,3,0,2105
1000,mcboy,3,0,2108
1000,mcboy,3,0,2111
1000,mcboy,3,0,2114
1000,mcboy,3,0,2117
1000,mcboy,3,0,2120
1000,mcboy,3,0,2123
1000,mcboy,2,0,2125
1000,mcboy,3,0,2128
1000,mcboy,3,0,2131
1000,mcboy,3,0,2134
1000,mcboy,2,0,2136
1000,mcboy,3,0,2139
1000,mcboy,3,0,2142
1000,mcboy,2,0,2144
1000,mcboy,3,0,2147
1000,mcboy,3,0,2150
1000,mcboy,3,0,2153
1000,mcboy,3,0,2156
1000,mcboy,3,0,2159
1000,mcboy,2,0,2161
1000,mcboy,3,0,2164
1000,mcboy,3,0,2167
1000,mcboy,2,0,2169
1000,mcboy,2,0,2171
1000,mcboy,3,0,2174
1000,mcboy,3,0,2177
1000,mcboy,2,0,2179
1000,mcboy,3,0,2182
1000,mcboy,2,0,2184
